LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate
1,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond(pam_unix),2915,session closed for user root,E117,session closed for user root
2,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond(pam_unix),2915,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
3,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond,2916,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
4,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond(pam_unix),2907,session closed for user root,E117,session closed for user root
5,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond(pam_unix),2907,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
6,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond,2908,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
7,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907,session closed for user root,E117,session closed for user root
8,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
9,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond,2908,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
10,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond(pam_unix),2727,session closed for user root,E117,session closed for user root
11,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond(pam_unix),2727,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
12,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond,2728,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
13,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond(pam_unix),2912,session closed for user root,E117,session closed for user root
14,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond(pam_unix),2912,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
15,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond,2913,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
16,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond(pam_unix),2917,session closed for user root,E117,session closed for user root
17,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond(pam_unix),2917,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
18,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond,2918,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
19,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond(pam_unix),2916,session closed for user root,E117,session closed for user root
20,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond(pam_unix),2916,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
21,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond,2917,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
22,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913,session closed for user root,E117,session closed for user root
23,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
24,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond,2914,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
25,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920,session closed for user root,E117,session closed for user root
26,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond(pam_unix),2920,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
27,-,1131566461,2005.11.09,dn978,Nov,9,12:01:01,dn978/dn978,crond,2921,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
28,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307,session closed for user root,E117,session closed for user root
29,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond(pam_unix),4307,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
30,-,1131566461,2005.11.09,eadmin1,Nov,9,12:01:01,src@eadmin1,crond,4308,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
31,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636,session closed for user root,E117,session closed for user root
32,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
33,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond,12637,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
34,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950,session closed for user root,E117,session closed for user root
35,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
